page_url,page_slug,link_text,pdf_url,file_id,subject,page_type,resource_type,chapter_name,notes
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,2022 question paper,https://drive.google.com/file/d/1VY91L8hxj4SKkr_66Av7Uj3wwHNLtk2f/view?usp=sharing,1VY91L8hxj4SKkr_66Av7Uj3wwHNLtk2f,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,2020 question paper,https://drive.google.com/file/d/10ZgqYrnf8NUeEG1dgPVRFVHq1wjkkhcD/view?usp=sharing,10ZgqYrnf8NUeEG1dgPVRFVHq1wjkkhcD,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,2019 question paper,https://drive.google.com/file/d/1uCuCZ0jZ2VJZeY3vBFo3XbecJUmkbR3-/view?usp=sharing,1uCuCZ0jZ2VJZeY3vBFo3XbecJUmkbR3-,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,2018 question paper,https://drive.google.com/file/d/1cJSa1D2peiXsuWeUkcb5NFarPVMScPiT/view?usp=sharing,1cJSa1D2peiXsuWeUkcb5NFarPVMScPiT,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,2017 question paper,https://drive.google.com/file/d/1cNb5SE_g485tPkuVYDqgGDACrdXS647E/view?usp=sharing,1cNb5SE_g485tPkuVYDqgGDACrdXS647E,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,2016 question paper,https://drive.google.com/file/d/1cNb5SE_g485tPkuVYDqgGDACrdXS647E/view?usp=sharing,1cNb5SE_g485tPkuVYDqgGDACrdXS647E,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,2015 question paper,https://drive.google.com/file/d/1UYUI_iQ__oMHgDnwqi8yK6yKCd6BQ7aB/view?usp=sharing,1UYUI_iQ__oMHgDnwqi8yK6yKCd6BQ7aB,Physics,resource_page,unknown,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Solved paper-2015,https://drive.google.com/file/d/1fnWXjA5-Q6ZUuX_9IF_vzqNGVhtXCEqg/view?usp=sharing,1fnWXjA5-Q6ZUuX_9IF_vzqNGVhtXCEqg,Physics,resource_page,solved_paper,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Solved paper-2018,https://drive.google.com/file/d/1POpeRv--WrKDud761KWXB4jnhcO7kifC/view?usp=sharing,1POpeRv--WrKDud761KWXB4jnhcO7kifC,Physics,resource_page,solved_paper,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Solved paper-2016,https://drive.google.com/file/d/1d26b5lb-i0reRQhsT3a5rx-08bdp6X2D/view?usp=sharing,1d26b5lb-i0reRQhsT3a5rx-08bdp6X2D,Physics,resource_page,solved_paper,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Solved paper-2019,https://drive.google.com/file/d/1qdUiJwgq6LXxHaNriOqGYdr0LaIqcv5q/view?usp=sharing,1qdUiJwgq6LXxHaNriOqGYdr0LaIqcv5q,Physics,resource_page,solved_paper,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Solved paper-2017,https://drive.google.com/file/d/10IOciFFKTdmx9Hol9UwUe7GL6rj3lV3A/view?usp=sharing,10IOciFFKTdmx9Hol9UwUe7GL6rj3lV3A,Physics,resource_page,solved_paper,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Solved paper-2020,https://drive.google.com/file/d/1haw-nLjaK7_Aj-GvUlDWJuCgsWddAtpL/view?usp=sharing,1haw-nLjaK7_Aj-GvUlDWJuCgsWddAtpL,Physics,resource_page,solved_paper,,
https://www.pucnotes-solutions.com/2nd-puc-physics,2nd-puc-physics,Questions,https://drive.google.com/file/d/1JS3vNCkXYFJF_tlsNz93QBCn_-mcpTxy/view?usp=sharing,1JS3vNCkXYFJF_tlsNz93QBCn_-mcpTxy,Physics,resource_page,unknown,,
